Binder ID,name__v,id
4311051,DHFIndex-P2007,1611687535194:689993496
4311051,Design & Dev Planning,1611673861418:-1376115217
4311051,Design Inputs,1611673869227:842069848
4311051,Design Outputs,1611673877533:1706394988
4311051,Design Verification,1611673880559:1475698223
4311051,Process Validation,1611673892470:-2122218085
4311051,Design Transfer,1611673899937:2147113565
4311051,Design Validation,1611673915051:-1958109668
4311051,Design Reviews,1611673917983:3302593
4311051,Other,1611673919229:-1194130432
4310895,NGEMD DHF Stg1 TOC,1611687535409:933704778
4310895,Project Team,1611076343698:-1964491338
4310895,Product Requirements,1611076350692:1446890030
4310895,DR Stg1,1611076357344:-503157034
4310895,Risk Management Plan,1611076364762:-219579773
4310895,CEA;CHL,1611076370185:1841061609
4310895,CEA DR Stg 1,1611076379190:-1993872013
4310895,Project Plan,1611076383692:-70475325
4310895,SER Stg 1,1611076403200:614248460
4310897,NGEMD DHF Stg3 TOC,1611687381730:985130244
4310897,"QCTM Analytical Methods, VP and VR",1611674126620:355281930
4310897,Project Timeline - NGE 20110310,1611687381941:933231550
4310897,"QCTM Microbiology Methods, VP and VR",1611076859214:1210467203
4310897,QCTM Raw Material Endotoxin,1611076876696:727248610
4310897,Design Verification Rpts,1611076893184:-1750302927
4310897,Residual Risk Assessment,1611076901298:-2095926251
4310897,DV Design Review,1611076907689:-1021306418
4310897,QCTM Validation Master Plan,1611076921299:-738341135
4310897,Process Qualification,1611076928175:-1368417802
4310897,Stability Plans and Protocols,1611076937718:-1804049430
4310897,DVT Articles on Stability-TR PDE 20090528,1611076945687:291623498
4310897,Design Val Protocol & CER and NTF,1611076955677:540891138
4310897,SER Stg3,1611076969196:507749147
4310909,NPMD DHF Stg2 TOC,1611687385078:-782500190
4310909,Device Master Records Index,1611079353202:153293131
4310909,NPMD PRD V2 20100422,1611687385304:-1313112978
4310909,NPMD Global Dev Plan 20090608,1611687385537:580293785
4310909,AFMEA-CEC-MD,1611687385756:890656029
4310909,DFMEA-CEC-MD,1611687385997:207148342
4310909,Product Design Specs,1611079358702:730071804
4310909,Initial Risk Assessment,1611079365193:-1703398931
4310909,Design Risk Assessment,1611079371251:-481822085
4310909,DV-V Plans,1611079378702:1262078248
4310909,DR Stg 2 20100401,1611079389191:834484553
4310909,DVTM Analytical Methods,1611079395758:-930537417
4310909,Process Specs,1611079402198:-1561501641
4310909,Process Risk Assessment,1611079409238:2091836845
4310909,Mfg Plan,1611079416227:-263582612
4310909,Regulatory Plan,1611079422224:2115608887
4310937,Stg5 Labeling Changes,1611084534680:244654458
4310972,Section 4 Flutter DMR,1611687541942:1316181450
4310972,Annex 1,1611075831782:-1448933446
4310972,Annex 2,1611075833521:-35468362
4310972,Annex 3,1611075835495:-87161074
4310972,Annex 4,1611075837854:-1503516099
4310972,Annex 5,1611075839674:-1555208811
4310972,Annex 6,1611075842398:1323403460
4310972,Annex 7,1611075844809:1690055569
4310972,Annex 8,1611674456889:-1736619517
4310972,Annex 9,1611075850655:1152250458
4310972,Annex 10,1611075854797:-1806771643
4310972,Annex 11,1611075856677:1071840628
4310972,Annex 12,1611075858679:1020147916
4310972,Annex 13,1611075860851:-396207109
4310979,1007-001 Rev B,1611687437451:-36582066
4310979,Concept,1611076462277:130490706
4310979,Regulatory Assessment,1611687437661:-791866229
4310979,AQS-0333 Rev J,1611687437871:2108091797
4310979,Approved Supplier List 102213,1611687438103:407912241
4310979,Usability Engineering File,1611076467810:1205186874
4310979,Manufacturing Procedures,1611076474025:-1295306157
4310979,Verification and Validation,1611076478121:1776709337
4310979,Sterility and LAL,1611076481735:61130242
4310979,Bacteriostasis and Fungistasis,1611076503473:1580698982
4310979,Bioburden,1611076507798:1737143568
4310979,Labels and DFU,1611076511231:102571343
4310979,Drawings,1611076513223:504502346
4310979,Design Review,1611076515733:1080887063
4311024,DHF KF2,1611674854731:866236029
4311024,Misc Validations,1611674911044:-1215919443
4311024,MSDS,1611674914110:44585383
4311024,CMP Project Plan,1611674924907:-1792231822
4311024,CMP Quotation,1611674929632:-744835421
4311024,Design Review,1611674941024:-1793789269
4311024,Project Plans,1611675063079:1564681946
4311024,KF2 Fold Change DHF,1611675067352:478464370
4311024,TR 16.018 Implementation Plan,1611675077117:1589936435
4311024,16.030 Design Inputs,1611675079398:46184424
4311024,16.030 Design Reviews,1611675082099:-809784906
4311024,16.030 Project Plans,1611675084164:-180562439
4311051,DHFIndex-P2007,1611687535194:689993496
4311051,Design & Dev Planning,1611673861418:-1376115217
4311051,Design Inputs,1611673869227:842069848
4311051,Design Outputs,1611673877533:1706394988
4311051,Design Verification,1611673880559:1475698223
4311051,Process Validation,1611673892470:-2122218085
4311051,Design Transfer,1611673899937:2147113565
4311051,Design Validation,1611673915051:-1958109668
4311051,Design Reviews,1611673917983:3302593
4311051,Other,1611673919229:-1194130432
4311082,TR 17.024 Rev A DHFIndex,1611687545512:1178858329
4311082,DHF Index,1611082625172:518631020
4311082,Executive Summary,1611082628762:-1706978117
4311082,Project Plans,1611082630966:-906779210
4311082,Design Input,1611082633663:-211167890
4311082,Design Output,1611082640419:907464827
4311082,Verification and Validation Matrix,1611082644652:1119336616
4311082,Regulatory Assessment,1611082647786:863084717
4311082,Design Review,1611082649880:-1791041458
4311082,Risk Management,1611082652188:1207942348
4311082,DHF (Original),1611082655338:-999015901
4311083,TR 15.016 Rev A DHF Index,1611687545740:1449315679
4311083,DHF Index,1611082172331:1652729435
4311083,Design Review Minutes,1611082176337:1246279713
4311083,Design Phase Review Checklist,1611082181729:2019605667
4311083,Project Plans,1611082184354:-746748064
4311083,Design Input,1611082186814:1039490265
4311083,Drawing,1611082188976:-1479194402
4311083,Testing,1611082190455:-1873023302
4311083,Evidence,1611082192666:1442510174
4311083,Technical File,1611082197161:-563840924
4311083,Device Master Record,1611082201345:-1774689927
4311083,EC Declaration of Conformity,1611082208684:-1767655624
4311083,Verification and Validation Matrix,1611082214045:1671189693
4311083,Design Specification,1611082219389:605623145
4311083,Risk Management,1611082221782:-1001686612
4311083,Customer Complaint Record,1611082232991:819567749
4311083,DHF (Original),1611082238353:835533681
4311084,TR 15.017 Rev A DHF Index,1611687502974:-890618787
4311084,DHF Index,1611082281349:-446043466
4311084,TR 15.017 Rev B DHF Index,1611687503192:-1222129549
4311084,DHF Tab A,1611082284228:-1764343745
4311084,DHF Attachments,1611082287262:-513959911
4311084,DHF Tab B,1611082290008:-234318921
4311084,DHF Tab C,1611082293297:-972346182
4311084,Validation,1611082294718:-1009305984
4311084,Verification Report,1611082298555:2141992500
4311084,Verification and Validation Matrix,1611082304633:196794232
4311084,Risk Management,1611082306874:1702325483
4311084,Test Report,1611082310251:1762565632
4311084,DHF (Original),1611082313425:-1847120038
4311085,DHF (Original),1611082357962:-825675600
4311086,DHF (Original),1611082396062:-782098104
4311087,TR 16.030 Rev A DHF Index,1611687503424:765457522
4311087,DHF (Original),1611082430733:1005573850
4311087,TR 16.030 DHF Index Report Cover,1611687503648:1844985701
4311087,TRs,1611082433821:1529681637
4311087,DCNs,1611082435690:-804929587
4311087,DHF Attachments,1611082438787:-266625247
4311087,DHF Index,1611082441446:-256395642
4311088,DHFIndex-KF2 and Insertion Sleeve (Latest),1611687545960:587888431
4311088,DHF Index,1611082484225:-679057106
4311088,Design Validation,1611082486885:1700587240
4311088,Process Validation,1611082490489:1868909377
4311088,Design Inputs,1611082493172:1022831585
4311088,Design Verification,1611082499686:-1010962009
4311088,Risk Management File,1611082503411:891524509
4311088,Design Verification and Validation Matrix,1611082509825:-378602079
4311088,Design Outputs,1611082512960:474400094
4311088,Design Transfer,1611082516092:-107488087
4311090,RMf-Delivery Assistance Sleeve,1611082557842:-217122015
4311090,Double Lumen Gel/Saline-Filled Breast Implants,1611675901381:-1606150007
4311090,Fourte Expander Fill System,1611675908428:1708484564
4311090,Saline Breast Implants,1611675913025:424981818
4311090,Single Lumen Silicone Gel,1611675921823:-815947302
4311090,CUI Tissue Expanders,1611675927286:-1926784756
4311090,133 Tissue Expanders,1611675931830:-869859248
4311094,BRIMO DDS (w/o sleeve) DHF Stg1 TOC,1611687520751:314548524
4311094,Project Team,1611077622955:-416126395
4311094,OBSOLETE RAMtx-P1497-11090X-11091X,1611687520956:548285942
4311094,BRIMO DDS (w/o sleeve) DHF Stg2 TOC,1611687521181:577551426
4311094,BRIMO DDS (w/o sleeve) DHF Stg3 TOC,1611687521585:238122137
4311094,PD-TPROT-00094,1611687521835:2024897904
4311094,RM Training,1611077624871:-46893170
4311094,Product Requirements Document 2008,1611077633547:1759860582
4311094,Product Requirements Document 2013,1611077640275:1235966282
4311094,PRD Design Review,1611077645278:1076240407
4311094,Risk Management Plan,1611077649756:1146624276
4311094,Clinical Effects analysis (2007-2011),1611077658970:695332603
4311094,Clinical Effects Analysis (2013 forward),1611077668298:433370013
4311094,Global Clinical Hazards list (2014 on),1611077676782:1923027111
4311094,Project Plan,1611077679278:1411227564
4311094,Design & Development Plan,1611077683260:791017975
4311094,SER Stg1,1611077686679:1113704970
4311094,SER Stg1 Design Input,1611077693924:-1454761507
4311094,Stgs 1&2,1611077702825:2062730837
4311094,Device Master Records Index,1611077712932:1253382163
